roc_auc,auprc,f1,precision,recall,set,dataset,model
0.7014059238113846,0.5479993067507695,0.105,0.7777777777777778,0.05630026809651475,train,20_phenotypes,EBM
0.6881261464653591,0.5344512635537868,0.0850253807106599,0.7976190476190477,0.044906166219839144,train,20_phenotypes,EBM
0.6780114727941736,0.5207606989804985,0.034165571616294355,0.8666666666666667,0.01742627345844504,train,20_phenotypes,EBM
0.7387721016813016,0.591163126753327,0.3189926547743966,0.7342995169082126,0.2037533512064343,train,20_phenotypes,EBM
0.7581141255386352,0.6157845730341304,0.3754980079681275,0.7306201550387597,0.2526809651474531,train,20_phenotypes,EBM
0.6518327164580868,0.5189164858040978,0.08205128205128205,0.9411764705882353,0.04289544235924933,valid,20_phenotypes,EBM
0.6967325511138126,0.536879240897781,0.04177545691906005,0.8,0.021447721179624665,valid,20_phenotypes,EBM
0.6890695495182584,0.5582337065618241,0.010666666666666666,1.0,0.005361930294906166,valid,20_phenotypes,EBM
0.5849858715669356,0.423326720845429,0.23387096774193547,0.4715447154471545,0.1554959785522788,valid,20_phenotypes,EBM
0.5202917584743463,0.3670919708662428,0.2582897033158813,0.37,0.19839142091152814,valid,20_phenotypes,EBM
0.6386490414065453,0.4484937672003205,0.0,0.0,0.0,test,20_phenotypes,EBM
0.6291893661944296,0.4392074673664674,0.002574002574002574,1.0,0.001288659793814433,test,20_phenotypes,EBM
0.6329909940438176,0.4406452467796089,0.0,0.0,0.0,test,20_phenotypes,EBM
0.6265444367693251,0.4364704596557344,0.0813397129186603,0.5666666666666667,0.04381443298969072,test,20_phenotypes,EBM
0.6259799353552205,0.4269121375129441,0.17573221757322177,0.4666666666666667,0.10824742268041238,test,20_phenotypes,EBM
0.6709367413429428,0.4988549265543443,0.5224093634027976,0.4549975136747887,0.6132707774798928,train,20_phenotypes,RF
0.6664937923536414,0.48808849665589615,0.5217637083097796,0.45112414467253176,0.618632707774799,train,20_phenotypes,RF
0.6650211383790472,0.49236861213470706,0.5146504206556426,0.4537084398976982,0.5945040214477212,train,20_phenotypes,RF
0.6856087844120509,0.5096108278756557,0.5312767780634104,0.46291687406669985,0.6233243967828418,train,20_phenotypes,RF
0.6951809787150904,0.5261272750311043,0.537934968625214,0.4682224428997021,0.6320375335120644,train,20_phenotypes,RF
0.6558125567579498,0.4980240351395111,0.4788029925187032,0.44755244755244755,0.514745308310992,valid,20_phenotypes,RF
0.6760337635178894,0.5216766877814341,0.5149700598802396,0.4653679653679654,0.5764075067024129,valid,20_phenotypes,RF
0.6821645265979963,0.5136528134345457,0.5351089588377723,0.4878587196467991,0.5924932975871313,valid,20_phenotypes,RF
0.5626553494480685,0.38123200850486666,0.4668769716088328,0.38408304498269896,0.5951742627345844,valid,20_phenotypes,RF
0.5087176592750178,0.34344600457322466,0.4352941176470588,0.34312210200927357,0.5951742627345844,valid,20_phenotypes,RF
0.6387304990420581,0.44452042748797194,0.5081799591002044,0.4211864406779661,0.6404639175257731,test,20_phenotypes,RF
0.6327254421520455,0.43997625179392363,0.5007940709370037,0.4249775381850854,0.6095360824742269,test,20_phenotypes,RF
0.6387769298943006,0.4418897302931184,0.4978813559322034,0.4226618705035971,0.6056701030927835,test,20_phenotypes,RF
0.6317442849322924,0.4309905245182885,0.5050200803212851,0.4136513157894737,0.6481958762886598,test,20_phenotypes,RF
0.6352571454637872,0.4307485354994197,0.5156325156325157,0.4113584036838066,0.6907216494845361,test,20_phenotypes,RF
0.6053244383902632,0.42372489200996055,0.47196401799100446,0.4270211611502984,0.5274798927613941,train,20_phenotypes,LR
0.5991991023651105,0.4185445522361065,0.46990404187263746,0.4149974319465845,0.5415549597855228,train,20_phenotypes,LR
0.6035638113121534,0.42493856189769236,0.47069541451563923,0.4303164908384231,0.5194369973190348,train,20_phenotypes,LR
0.6253783109557768,0.44522471499347505,0.47473487211478477,0.44399066511085183,0.510053619302949,train,20_phenotypes,LR
0.6375323135897075,0.46434800610104154,0.4861244019138756,0.46378575776019476,0.5107238605898123,train,20_phenotypes,LR
0.6040095082002801,0.4688914020022663,0.4552058111380145,0.41501103752759383,0.5040214477211796,valid,20_phenotypes,LR
0.6367418856483341,0.48060086865280705,0.49816849816849823,0.45739910313901344,0.546916890080429,valid,20_phenotypes,LR
0.6276497595814655,0.45579666981654154,0.5056039850560398,0.4720930232558139,0.5442359249329759,valid,20_phenotypes,LR
0.5506398497791188,0.36142119226619346,0.4289099526066351,0.3842887473460722,0.48525469168900803,valid,20_phenotypes,LR
0.5025706150300479,0.3259022015163938,0.3986562150055991,0.3423076923076923,0.4772117962466488,valid,20_phenotypes,LR
0.6100321594745004,0.41311694726244697,0.460390355912744,0.41511387163561075,0.5167525773195877,test,20_phenotypes,LR
0.6082840786163932,0.40821509646407206,0.4682762492981471,0.41492537313432837,0.5373711340206185,test,20_phenotypes,LR
0.6140309148018298,0.416725963652418,0.4660766961651917,0.42981501632208924,0.509020618556701,test,20_phenotypes,LR
0.6192784156815724,0.4113277960033274,0.47134502923976607,0.43147751605995716,0.5193298969072165,test,20_phenotypes,LR
0.6177543433211256,0.4119419473904478,0.46710136336692354,0.43249176728869376,0.5077319587628866,test,20_phenotypes,LR
0.5612470286874125,0.39855523320690833,0.4556213017751479,0.36037441497659906,0.6193029490616622,train,20_phenotypes,GFN
0.5658505280524471,0.38557026025672836,0.5015136226034309,0.33475527615626405,0.9993297587131368,train,20_phenotypes,GFN
0.5693729128451154,0.382515917356523,0.009296148738379814,0.5,0.004691689008042895,train,20_phenotypes,GFN
