,0
0,0.9597936405155291
1,0.9351930310217507
2,0.924290176910703
3,0.917930108361205
4,0.9136001475517453
5,0.911214581892848
6,0.9096515749869386
7,0.908480412616648
8,0.9076137839869235
9,0.9069672475314677
10,0.906485986788721
11,0.9060966851559424
12,0.9057476077986563
13,0.9054214554698756
14,0.9051304648417596
15,0.9049010247439732
16,0.9047296927055742
17,0.9045943863212921
18,0.9044788880463224
19,0.9043775235195723
20,0.9042880047296883
21,0.9042057860373992
22,0.9041248389612085
23,0.9040404179726469
24,0.9039503658778449
25,0.9038557381448014
26,0.9037595617714699
27,0.9036650525818222
28,0.9035744762969898
29,0.9034876419572032
30,0.9034034559231412
31,0.9033218627250366
32,0.9032444038067593
33,0.903173284834439
34,0.9031113048734632
35,0.9030568798894155
36,0.903007731464272
37,0.9029621665413144
38,0.902918558400611
39,0.9028763682579787
40,0.902836206522799
41,0.9027996365735792
42,0.9027670558949954
43,0.9027375297575387
44,0.9027096411119863
45,0.902682640243368
46,0.9026554159022786
47,0.9026250435185275
48,0.9025875662840916
49,0.9025377631694865
50,0.9024695971011346
51,0.9023834484228824
52,0.9022945664420264
53,0.9022201760087493
54,0.9021690054540407
55,0.9021358499490908
56,0.9021126126822824
57,0.902095699536331
58,0.9020825737642113
59,0.9020722933155779
60,0.9020641221316822
61,0.9020575153690413
62,0.9020521640950092
63,0.9020477350177764
64,0.90204399754478
65,0.9020407861064779
66,0.9020379869248438
67,0.9020355066729259
68,0.9020332674378437
69,0.9020312019659182
70,0.902029259256591
71,0.9020274012073213
72,0.9020255949513662
73,0.9020238116879586
74,0.9020220305575753
75,0.9020202308422335
76,0.902018377234797
77,0.9020164259904803
78,0.9020143395885449
79,0.9020120759888703
80,0.9020095984062692
81,0.9020068681986604
82,0.9020038376368341
83,0.9020004688443589
84,0.9019967301705683
85,0.9019925723339128
86,0.9019879381721966
87,0.9019827709936599
88,0.9019770105346978
89,0.9019706364918721
90,0.9019636753767305
91,0.9019561422382273
92,0.901948031530218
93,0.9019393522265697
94,0.9019300203886986
95,0.9019200506182748
96,0.9019095080200976
97,0.9018985565531522
98,0.9018875749966241
99,0.9018770022950606
100,0.9018672414604733
101,0.9018585653264656
102,0.9018511038039585
103,0.9018448389437271
104,0.9018396680756825
105,0.9018354350479879
106,0.9018319694530259
107,0.901829172705718
108,0.9018269411164936
109,0.9018251318105502
110,0.90182364884324
111,0.9018224115221112
112,0.9018213419557908
113,0.9018203985326799
