,0
0,0.9366814832034259
1,0.9082110251717512
2,0.897045995991526
3,0.8919183585344561
4,0.8879652180148819
5,0.8845395913582534
6,0.8821020176146521
7,0.8803661784598547
8,0.8791514392845468
9,0.878416717124632
10,0.8779863069451345
11,0.8777335559494878
12,0.8775875666468468
13,0.8774912376620572
14,0.877407332003463
15,0.8773180069800411
16,0.8772163888106359
17,0.8771090504204666
18,0.8770131102103383
19,0.8769382622967627
20,0.8768817260783125
21,0.8768371209755204
22,0.87679954035571
23,0.8767679521902265
24,0.876743220925249
25,0.8767246139337143
26,0.8767114028570004
27,0.8767025231850114
28,0.8766966578131069
29,0.8766925174567543
30,0.8766893645767713
31,0.876686789471141
32,0.8766845005996275
33,0.876682322798006
34,0.8766801320279861
35,0.8766778115143171
36,0.8766752435929454
37,0.8766723096685675
38,0.8766688486605331
39,0.8766646314439832
40,0.8766594025735878
41,0.8766528563130919
42,0.876644654482776
43,0.8766346864401513
44,0.8766230279711438
45,0.876610373191961
46,0.8765985018000346
47,0.8765884889432078
48,0.8765801254248289
49,0.8765733175319346
50,0.8765682646274833
51,0.8765644736323152
52,0.8765615361945169
53,0.8765591957432206
54,0.8765573209058725
55,0.8765558230621328
56,0.8765546551971783
57,0.8765537672371007
